Zeitraum;kWh;Euro;kgCO2;Status
12.10.2022 02:00 - 02:15;4026,000;0,00;2161,962;Ersatzwert
12.10.2022 02:15 - 02:30;3967,000;0,00;2130,279;Ersatzwert
12.10.2022 02:30 - 02:45;4048,000;0,00;2173,776;Ersatzwert
12.10.2022 02:45 - 03:00;3833,000;0,00;2058,321;Ersatzwert
12.10.2022 03:00 - 03:15;3868,000;0,00;2077,116;Ersatzwert
12.10.2022 03:15 - 03:30;4009,000;0,00;2152,833;Ersatzwert
12.10.2022 03:30 - 03:45;3431,000;0,00;1842,447;Ersatzwert
12.10.2022 03:45 - 04:00;3257,000;0,00;1749,009;Ersatzwert
12.10.2022 04:00 - 04:15;3188,000;0,00;1711,956;Ersatzwert
12.10.2022 04:15 - 04:30;3477,000;0,00;1867,149;Ersatzwert
12.10.2022 04:30 - 04:45;4187,000;0,00;2248,419;Ersatzwert
12.10.2022 04:45 - 05:00;4061,000;0,00;2180,757;Ersatzwert
12.10.2022 05:00 - 05:15;4000,000;0,00;2148,000;Ersatzwert
12.10.2022 05:15 - 05:30;3992,000;0,00;2143,704;Ersatzwert
12.10.2022 05:30 - 05:45;3736,000;0,00;2006,232;Ersatzwert
12.10.2022 05:45 - 06:00;3417,000;0,00;1834,929;Ersatzwert
12.10.2022 06:00 - 06:15;3610,000;0,00;1938,570;Ersatzwert
12.10.2022 06:15 - 06:30;3707,000;0,00;1990,659;Ersatzwert
12.10.2022 06:30 - 06:45;3807,000;0,00;2044,359;Ersatzwert
12.10.2022 06:45 - 07:00;3511,000;0,00;1885,407;Ersatzwert
12.10.2022 07:00 - 07:15;3331,000;0,00;1788,747;Ersatzwert
12.10.2022 07:15 - 07:30;3450,000;0,00;1852,650;Ersatzwert
12.10.2022 07:30 - 07:45;3806,000;0,00;2043,822;Ersatzwert
12.10.2022 07:45 - 08:00;4203,000;0,00;2257,011;Ersatzwert
12.10.2022 08:00 - 08:15;4229,000;0,00;2270,973;Ersatzwert
12.10.2022 08:15 - 08:30;3942,000;0,00;2116,854;Ersatzwert
12.10.2022 08:30 - 08:45;3745,000;0,00;2011,065;Ersatzwert
12.10.2022 08:45 - 09:00;3418,000;0,00;1835,466;Ersatzwert
12.10.2022 09:00 - 09:15;3626,000;0,00;1947,162;Ersatzwert
12.10.2022 09:15 - 09:30;3501,000;0,00;1880,037;Ersatzwert
12.10.2022 09:30 - 09:45;3574,000;0,00;1919,238;Ersatzwert
12.10.2022 09:45 - 10:00;4128,000;0,00;2216,736;Ersatzwert
12.10.2022 10:00 - 10:15;3888,000;0,00;2087,856;Ersatzwert
12.10.2022 10:15 - 10:30;3897,000;0,00;2092,689;Ersatzwert
12.10.2022 10:30 - 10:45;3899,000;0,00;2093,763;Ersatzwert
12.10.2022 10:45 - 11:00;4184,000;0,00;2246,808;Ersatzwert
12.10.2022 11:00 - 11:15;3999,000;0,00;2147,463;Ersatzwert
12.10.2022 11:15 - 11:30;3849,000;0,00;2066,913;Ersatzwert
12.10.2022 11:30 - 11:45;3531,000;0,00;1896,147;Ersatzwert
12.10.2022 11:45 - 12:00;3617,000;0,00;1942,329;Ersatzwert
12.10.2022 12:00 - 12:15;3712,000;0,00;1993,344;Ersatzwert
12.10.2022 12:15 - 12:30;3853,000;0,00;2069,061;Ersatzwert
12.10.2022 12:30 - 12:45;3944,000;0,00;2117,928;Ersatzwert
12.10.2022 12:45 - 13:00;4138,000;0,00;2222,106;Ersatzwert
12.10.2022 13:00 - 13:15;4012,000;0,00;2154,444;Ersatzwert
12.10.2022 13:15 - 13:30;3638,000;0,00;1953,606;Ersatzwert
12.10.2022 13:30 - 13:45;3472,000;0,00;1864,464;Ersatzwert
12.10.2022 13:45 - 14:00;3623,000;0,00;1945,551;Ersatzwert
12.10.2022 14:00 - 14:15;3584,000;0,00;1924,608;Ersatzwert
12.10.2022 14:15 - 14:30;3596,000;0,00;1931,052;Ersatzwert
12.10.2022 14:30 - 14:45;3642,000;0,00;1955,754;Ersatzwert
12.10.2022 14:45 - 15:00;3522,000;0,00;1891,314;Ersatzwert
12.10.2022 15:00 - 15:15;3372,000;0,00;1810,764;Ersatzwert
12.10.2022 15:15 - 15:30;3608,000;0,00;1937,496;Ersatzwert
12.10.2022 15:30 - 15:45;3693,000;0,00;1983,141;Ersatzwert
12.10.2022 15:45 - 16:00;3577,000;0,00;1920,849;Ersatzwert
12.10.2022 16:00 - 16:15;3548,000;0,00;1905,276;Ersatzwert
12.10.2022 16:15 - 16:30;3533,000;0,00;1897,221;Ersatzwert
12.10.2022 16:30 - 16:45;3439,000;0,00;1846,743;Ersatzwert
12.10.2022 16:45 - 17:00;3485,000;0,00;1871,445;Ersatzwert
12.10.2022 17:00 - 17:15;3896,000;0,00;2092,152;Ersatzwert
12.10.2022 17:15 - 17:30;3600,000;0,00;1933,200;Ersatzwert
12.10.2022 17:30 - 17:45;3362,000;0,00;1805,394;Ersatzwert
12.10.2022 17:45 - 18:00;3484,000;0,00;1870,908;Ersatzwert
12.10.2022 18:00 - 18:15;3660,000;0,00;1965,420;Ersatzwert
12.10.2022 18:15 - 18:30;3670,000;0,00;1970,790;Ersatzwert
12.10.2022 18:30 - 18:45;3689,000;0,00;1980,993;Ersatzwert
12.10.2022 18:45 - 19:00;3646,000;0,00;1957,902;Ersatzwert
12.10.2022 19:00 - 19:15;3614,000;0,00;1940,718;Ersatzwert
12.10.2022 19:15 - 19:30;3586,000;0,00;1925,682;Ersatzwert
12.10.2022 19:30 - 19:45;3146,000;0,00;1689,402;Ersatzwert
12.10.2022 19:45 - 20:00;3221,000;0,00;1729,677;Ersatzwert
12.10.2022 20:00 - 20:15;3341,000;0,00;1794,117;Ersatzwert
12.10.2022 20:15 - 20:30;3255,000;0,00;1747,935;Ersatzwert
12.10.2022 20:30 - 20:45;3397,000;0,00;1824,189;Ersatzwert
12.10.2022 20:45 - 21:00;3328,000;0,00;1787,136;Ersatzwert
12.10.2022 21:00 - 21:15;3297,000;0,00;1770,489;Ersatzwert
12.10.2022 21:15 - 21:30;3053,000;0,00;1639,461;Ersatzwert
12.10.2022 21:30 - 21:45;3277,000;0,00;1759,749;Ersatzwert
12.10.2022 21:45 - 22:00;3715,000;0,00;1994,955;Ersatzwert
12.10.2022 22:00 - 22:15;3833,000;0,00;2058,321;Ersatzwert
12.10.2022 22:15 - 22:30;3289,000;0,00;1766,193;Ersatzwert
12.10.2022 22:30 - 22:45;3482,000;0,00;1869,834;Ersatzwert
12.10.2022 22:45 - 23:00;3261,000;0,00;1751,157;Ersatzwert
12.10.2022 23:00 - 23:15;3150,000;0,00;1691,550;Ersatzwert
12.10.2022 23:15 - 23:30;3126,000;0,00;1678,662;Ersatzwert
12.10.2022 23:30 - 23:45;3384,000;0,00;1817,208;Ersatzwert
